DName2016,CName2016,SName2016,PName2016,LAT,LON
KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,UPPER ESTATE,0.35887393742,32.63090090950
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,SALAAMA,0.24611506750,32.61408059260
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,NAKIVUBO-SHAURIYAKO,0.31828542347,32.57422689960
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,KISUGU,0.30878618586,32.60651479100
KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,NSAMBYA ESTATE,0.29890901867,32.59581198710
KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,NAKASERO I,0.32416231926,32.58476107030
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,MAKERERE UNIVERSITY,0.33691477650,32.56544597010
KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,BUSEGA,0.31353925588,32.52244020620
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,MAKERERE I,0.34607444440,32.56624164730
KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,MAKERERE III,0.35302847500,32.56670168750
